Winner ID	Winner Name	Winner Score	Winner Elo	Winner RD	Loser ID	Loser Name	Loser Score	Loser Elo	Loser RD	Timestamp	Index
330320859229061122	Super63	5	1768.423073	67.30684261	493885737889038350	Matt	3	1577.524119	65.39205822	Dec/27/2022 at 15:00:04	1,455
330320859229061122	Super63	2	1774.887404	67.17696534	493885737889038350	Matt	0	1571.398932	65.36145629	Dec/27/2022 at 15:30:16	1,456
338507587966205953	seth	8	1540.122365	63.52552047	289217674708516865	Clutch1908	3	1776.576957	69.04009281	Dec/27/2022 at 16:15:30	1,457
613483843537862675	Sam N	6	1641.866836	67.93160162	114253535666765824	HairyDixon	5	1378.501186	91.84723161	Dec/27/2022 at 18:36:59	1,458
318160158377246720	Balamb Transfer	5	1891.248692	96.74680413	402644200115535874	bennyokay	1	1563.340063	64.51416714	Dec/27/2022 at 19:36:35	1,459
317495021106495488	duckydonne	6	1353.0892	68.0929337	114253535666765824	HairyDixon	3	1353.4725	89.49778028	Dec/27/2022 at 20:15:47	1,460
613483843537862675	Sam N	5	1646.187023	68.0399926	114253535666765824	HairyDixon	2	1346.198178	88.54960213	Dec/27/2022 at 21:31:55	1,461
338507587966205953	seth	5	1559.813203	63.86165652	345026013253861396	BigNick	3	1836.622237	65.85801101	Dec/27/2022 at 21:33:21	1,462
114253535666765824	HairyDixon	6	1379.376563	87.245924	402644200115535874	bennyokay	5	1545.551206	64.60287315	Dec/27/2022 at 22:08:34	1,463
210982819793469440	legendarybolt	10	1769.645891	64.4680571	330320859229061122	Super63	7	1761.700857	66.76838892	Dec/27/2022 at 22:30:21	1,464
402644200115535874	bennyokay	4	1558.072162	64.35870878	493885737889038350	Matt	1	1558.593081	65.06981848	Dec/27/2022 at 22:35:29	1,465
493885737889038350	Matt	8	1576.68015	65.08335093	330320859229061122	Super63	7	1742.675702	66.69659545	Dec/27/2022 at 23:16:15	1,466
305836365906706432	shobbs001	9	1742.10793	64.19005342	255541617597874176	Colby2D	4	1521.288361	72.08183614	Dec/27/2022 at 23:55:07	1,467
305836365906706432	shobbs001	8	1747.318887	64.28956409	255541617597874176	Colby2D	6	1514.793987	71.78786722	Dec/28/2022 at 00:23:05	1,468
345026013253861396	BigNick	5	1846.480503	65.56848081	210982819793469440	legendarybolt	3	1760.184449	64.26373251	Dec/28/2022 at 01:33:13	1,469
668898165679849475	Wheels	8	1625.621807	85.83886876	493885737889038350	Matt	6	1565.986385	64.84607554	Dec/28/2022 at 01:34:55	1,470
465161170136072202	Cézarito	13	1892.362921	75.1877409	262121428550156289	JustAGrump	3	1421.714583	74.3239012	Dec/28/2022 at 01:36:27	1,471
330320859229061122	Super63	7	1755.694928	66.31785637	210982819793469440	legendarybolt	3	1748.063725	64.0388927	Dec/28/2022 at 02:07:43	1,472
399230263151820800	Quoise	14	1595.600419	120.1739288	160540151133503489	Kaui	9	1161.676561	106.3147978	Dec/28/2022 at 03:16:03	1,473
399230263151820800	Quoise	8	1629.330058	114.2435277	493885737889038350	Matt	1	1555.632298	64.6834511	Dec/28/2022 at 04:13:59	1,474
289217674708516865	Clutch1908	5	1794.482806	68.69690439	336528791549640716	Stuffed Flatbread	1	1887.753058	78.82443426	Dec/28/2022 at 10:50:20	1,475
255541617597874176	Colby2D	13	1518.378343	71.91830887	160540151133503489	Kaui	3	1154.208438	104.8374548	Dec/28/2022 at 11:17:41	1,476
336528791549640716	Stuffed Flatbread	7	1902.955973	77.69781957	401607218937462793	Boomerang-Bro	6	1833.72466	97.43791065	Dec/28/2022 at 11:30:04	1,477
